,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
727,2M19403444+4025068,5287034,295.1435,40.41856,0.18899,0.00014,5.4724,4.3481,6.8369,1.2518,1.1802,1.3353,1279.0486,1260.3754,1297.8794,0.3795,0.315,0.456,1
728,2M19403703+4024309,5287065,295.1543,40.4086,0.40987,-0.00627,2.5087,2.1135,3.1318,1.5927,1.499,1.6824,1245.8169,1228.8533,1262.5005,0.4333,0.3697,0.4948,1
729,2M19410914+4029018,5287610,295.28812,40.48385,0.06302,0.07169,12.333,8.6099,14.2889,0.993,0.9549,1.0972,923.4757,908.6989,940.8089,0.1015,0.0518,0.2248,1
730,2M19420206+4027597,5288607,295.50859,40.4666,0.1563,-0.00561,1.4791,1.4568,1.5304,1.8745,1.8534,1.9007,1113.4329,1105.8087,1120.6902,0.2885,0.247,0.3148,2
731,2M19420775+4029016,5288716,295.53231,40.48379,-0.12554,0.02269,5.0986,4.6238,5.9879999999999995,1.2015,1.1338,1.2301,1465.5993,1450.4407,1478.2995,0.2973,0.2395,0.3249,2
732,2M19431995+4025391,5290071,295.83314,40.42753,-0.22985,0.03694,3.7038,3.2734,4.1819999999999995,1.3035,1.2576,1.3613,2236.6731,2220.7518,2255.7935,0.3831,0.3462,0.4248,2
733,2M19474602+4026228,5295280,296.94177,40.43969,0.28347,0.00292,5.4095,4.3112,6.8363,1.2805,1.1955,1.355,1305.0688,1286.767,1325.5604,0.2752,0.2062,0.345,1
734,2M19481571+4028595,5295898,297.0655,40.48322,-0.03655,0.02086,3.1489,2.5044,3.9344,1.4213,1.3323,1.5065,1159.1386,1142.6414,1176.2055,0.3038,0.2381,0.3749,1
735,2M19521467+4025587,5300767,298.06114,40.433,0.1862,0.02263,6.3172,5.188,7.6716,1.2096,1.1587,1.2944,961.1166,950.5611,971.6395,0.3048,0.265,0.3543,1
736,2M19534216+4024011,5302674,298.4257,40.40031,0.1649,0.03406,5.9035,4.7512,7.4995,1.2192,1.1481,1.3019999999999998,1757.1397,1731.7293,1784.3879,0.521,0.46299999999999997,0.605,1
737,2M19545375+4025221,5304355,298.72399,40.42281,0.31876,-0.0072099999999999985,1.9197,1.8009,2.0178,1.7641,1.7217,1.8144,1691.3925,1680.7376,1703.366,0.5870000000000001,0.555,0.6114,2
738,2M19550411+4025062,5304582,298.76713,40.4184,0.07582,0.00471,2.4281,2.2646,2.5469,1.5713,1.5416,1.6006,2082.5064,2070.2367,2096.4365,0.5489,0.5065,0.5649,2
739,2M19553610+4026057,5305259,298.90046,40.43492,-0.06469,0.02292,2.3204,1.8476,2.9165,1.5445,1.4587,1.659,1547.4648,1523.526,1572.1083,0.5688,0.495,0.6448,1
740,2M19564547+4024350,5306751,299.18946,40.40974,-0.51131,0.16542,10.249,8.2224,12.8622,0.9627,0.9078,1.0285,1407.5320000000002,1386.5639999999999,1427.2574,0.5176,0.445,0.5761,1
741,2M19570675+4028151,5307203,299.27814,40.47088,-0.20168,0.12859,10.427999999999999,8.5075,12.7314,0.9934,0.9505,1.0648,748.2345,738.7542,758.1088,0.2207,0.1543,0.2649,1
742,2M19571477+4024579,5307348,299.31158,40.41609,0.22014,-0.01986,1.5411,1.4784,1.6027,1.8743,1.8449,1.9326,2057.0399,2039.3883,2075.547,0.5219,0.485,0.5726,2
743,2M19574860+4028346,5308081,299.4525,40.47629000000001,0.09886,-0.0031,1.5026,1.0737,1.5664,1.8604,1.8364,2.1799,2273.7408,2226.1782,2330.8198,0.6061,0.515,0.7814,2
744,2M19581855+4029546,5308777,299.5773200000001,40.49851,0.11993,-0.01544,4.3842,3.5075,5.525,1.3338,1.2407,1.4059,1856.4296,1828.9422,1885.7739,0.5826,0.495,0.6407,1
745,2M18531202+4030087,5340189,283.30012,40.50243,0.12086,0.01844,6.6455,5.2048,8.4101,1.1856,1.1117,1.2669,1121.0929,1103.6463,1138.9079,0.2147,0.1427,0.2949,1
746,2M18571985+4035243,5342486,284.33273,40.5901,0.29978,0.0546,9.2787,7.4989,11.6288,1.1017,1.0327,1.1694,1380.132,1356.7508,1403.2972,0.3825,0.3306,0.465,1
747,2M18592128+4033102,5343454,284.8387,40.55285,-0.154,0.02556,4.3874,3.5075,5.5518,1.2718,1.1857,1.3441,1167.6991,1149.979,1184.4097,0.2696,0.185,0.3263,1
748,2M19021406+4035013,5344943,285.5586,40.58371,0.30956,-0.001,4.8714,3.877,6.0938,1.3192,1.2473,1.412,1254.4951,1235.5491,1272.0031,0.3805,0.325,0.4605,1
749,2M19023304+4031192,5345094,285.63767,40.52203,0.19329,0.03068,6.4605,5.188,8.2105,1.1969,1.1315,1.2821,1359.6145,1338.844,1378.7991,0.3472,0.265,0.40700000000000003,1
750,2M19111996+4032420,5350163,287.8332,40.54501,0.32295,0.00358,2.8461,2.2131,3.4291,1.5498,1.4578,1.6517,1449.0120000000002,1427.2499,1472.332,0.1711,0.1162,0.2548,1
751,2M19165151+4030513,5354104,289.2146600000001,40.51426,0.054429999999999985,-0.0176,4.7118,3.7584,6.0048,1.2938,1.2022,1.3672,2265.3999,2231.0025,2301.1502,0.1686,0.1065,0.2548,1
752,2M19192456+4031447,5356201,289.85234,40.52909,0.18815,0.00021,7.6865,6.0954,9.4778,1.1275,1.0764,1.2148,720.4123,710.3951,731.209,0.1979,0.115,0.2561,1
753,2M19214727+4034230,5358184,290.44698,40.57306,0.14098,0.03074,8.9166,6.6834,11.4117,1.1016,1.0185,1.1778,1679.4729,1649.0356,1707.9775,0.2175,0.145,0.3066,1
754,2M19225009+4031505,5358969,290.70871,40.5307,0.07637999999999999,0.01193,7.4322,5.9566,9.3427,1.1395,1.0616,1.1976,622.9063,613.8328,631.6649,0.0039,-0.065,0.0745,1
