,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
112,2M19041758+3743261,2422635,286.07329,37.72392,0.00883,0.00646,4.2948,3.4498,5.4304,1.3122,1.2249,1.3865,1156.752,1139.2526,1173.5023,0.2036,0.1306,0.275,1
113,2M19055092+3745351,2423824,286.46221,37.75975,-0.31578,0.10966,1.9855,1.5831,2.6597,1.603,1.4453,1.731,1859.8105,1824.19,1894.4693,0.0062,-0.0692,0.0849,2
114,2M19055970+3746425,2423932,286.49875,37.778490000000005,0.33971,0.03286,6.6423,5.0699,8.5498,1.2027,1.1277,1.306,2611.5374,2534.2531,2688.3753,0.433,0.045,0.8398,1
115,2M19071517+3744455,2424822,286.81323,37.745979999999996,0.055060000000000005,-0.0142,2.5045,2.0156,3.1252,1.5363,1.4536,1.644,1094.4541,1078.2513,1110.4267,0.3006,0.225,0.3666,1
116,2M19072299+3747068,2424934,286.84582,37.78525,-0.10705999999999999,0.04096,6.8446,3.7897,7.4991,1.1078,1.06,1.3181,869.8702,854.083,929.7713,0.1608,0.095,0.3513,2
117,2M19072522+3746459,2424955,286.85511,37.77943,-0.023459999999999998,0.01956,8.3672,6.2835,9.883,1.0937,1.0375,1.1731,770.487,761.2022,781.1845,0.1899,0.125,0.2407,1
118,2M19081771+3745467,2425631,287.07381000000004,37.76298,-0.05246,0.00481,3.4544,2.7077,4.3133,1.3974,1.3001,1.4841,1429.7732,1407.6674,1453.6848,0.2417,0.1763,0.325,1
119,2M19201973+3746549,2435987,290.08222,37.781940000000006,0.38341,0.05082,8.1387,6.4091,10.113,1.1482,1.0952,1.2418,4116.3207,4053.7783,4173.5637,0.5913,0.535,0.6696,1
120,2M19202870+3743169,2436209,290.11959,37.721379999999996,0.42788000000000004,0.05075,7.706,7.1614,9.3575,1.1694,1.1033,1.1911,4194.1342,4154.32,4235.6134,0.5074,0.4623,0.5449,1
121,2M19203485+3746298,2436417,290.14525,37.77497,0.41825,0.05661,9.9639,8.6358,11.3456,1.042,1.0045,1.0959,4167.9257,4126.4823,4211.9527,0.5591,0.525,0.599,2
122,2M19204102+3743025,2436688,290.17094,37.71737,0.4251,0.029210000000000003,8.8858,7.021,11.0881,1.1168,1.0519,1.1958,4173.725,4106.956,4231.5638,0.5136,0.4605,0.5948,1
123,2M19204517+3744339,2436900,290.18823,37.74276,0.39931,0.057210000000000004,10.0329,7.8523,12.2375,1.0814,1.0167,1.151,4121.4599,4062.8433,4182.9792,0.4947,0.4336,0.5648,1
